,text,target,T,A,polarity
23,"  I really love LOCATION1,  There are some beautiful houses in the conservation area, there is  Broadway Market and it's on the tube",,LOCATION1,shopping,Positive
24,  I think LOCATION1 is your best bet ,,LOCATION1,general,Positive
25,"  I was born in LOCATION2 I am a cockney,my father was born along the LOCATION1 ",,LOCATION1,general,Positive
26,  I would rather live in LOCATION1,,LOCATION1,live,Positive
27,  I would say either LOCATION1 or LOCATION2 if you have the money,,LOCATION2,price,Negative
28,  I would suggest LOCATION1 as a pretty good area,,LOCATION1,general,Positive
29,  I'd stay away from LOCATION1,,LOCATION1,general,Negative
30,  I've never lived in LOCATION1 but know it reasonably well and would say it's an OK place to live,,LOCATION1,live,Positive
31,"  If I had the money, I would live near LOCATION1  ",,LOCATION1,price,Negative
32,"  If you are thinking South London, try LOCATION1",,LOCATION1,general,Positive
33,  It does not make that much difference if you fly into Gatwick or LOCATION1,,LOCATION1,general,Positive
34,  It would be worth you looking around LOCATION1,,LOCATION1,general,Positive
35,"  LOCATION1  is traditionally not a wealthy area, in fact it is amongst the poorest areas in the entire UK ",,LOCATION1,general,Negative
36,"  LOCATION1 ( pronounced Gren- Itch) is a lovely town, but parts of it can be very expensive",,LOCATION1,price,Negative
37,  LOCATION1 aint too bad,,LOCATION1,general,Negative
38,  LOCATION1 and LOCATION2 are the better area of West and Southwest London,,LOCATION1,general,Positive
39,  LOCATION1 and LOCATION2 areas are nice i think,,LOCATION1,general,Positive
40,  LOCATION1 attract many immigrants as it's cheaper,,LOCATION1,multicultural,Positive
41,  LOCATION1 cheap and lovely people,,LOCATION1,price,Positive
42,"  LOCATION1 even has a lovely big park, so you can go for walks etc  good luck",,LOCATION1,green-nature,Positive
43,  LOCATION1 has a very large Jewish population,,LOCATION1,multicultural,Positive
44,"  LOCATION1 has become a bit more up-market in recent years, and it's not too bad as a place",,LOCATION1,general,Positive
45,"  LOCATION1 in LOCATION1 might be suitable, but it's more than 30 minutes to Central London  ",,LOCATION1,transit-location,Negative
46,  LOCATION1 is a good place to live with a major rail station,,LOCATION1,live,Positive
47,  LOCATION1 is a mainly Indian area but it very safe - lots of families with children,,LOCATION1,multicultural,Positive
48,  LOCATION1 is a nice suburb of LOCATION1,,LOCATION1,general,Positive
49,"  LOCATION1 is a safe area you will see a lot of tourists, sexy ladies",,LOCATION1,safety,Positive
50,"  LOCATION1 is a trendy, very edgy area with lots of live music venues",,LOCATION1,nightlife,Positive
51,"  LOCATION1 is all druggies,  and tourists,",,LOCATION1,safety,Negative
52,  LOCATION1 is good,,LOCATION1,general,Positive
53,  LOCATION1 is good  and not too shabby,,LOCATION1,general,Positive
54,  LOCATION1 is in the east of London and is one of the more affordable parts of the London to live,,LOCATION1,price,Positive
55,  LOCATION1 is just about okay,,LOCATION1,general,Positive
56,  LOCATION1 is lovely and LOCATION2 (as others have said),,LOCATION1,general,Positive
57,  LOCATION1 is more expensive (London) but is good for some of the local schools,,LOCATION1,price,Negative
58,"  LOCATION1 is more expensive, but if you're after lots of shops, cafes etc there's more to offer",,LOCATION1,price,Negative
59,  LOCATION1 is not dangerous but it is an ugly jumble of concrete with no character,,LOCATION1,safety,Positive
60,  LOCATION1 is one of the most affluent areas and offers a much nicer environment to live than south of the river,,LOCATION1,price,Negative
61,  LOCATION1 is one of the ruffest places in London,,LOCATION1,safety,Negative
62,  LOCATION1 is pretty bad with its stabbings muggings and general filth of the place ,,LOCATION1,safety,Negative
63,  LOCATION1 is quite a nice area,,LOCATION1,general,Positive
64,"  LOCATION1 is safe, you will hear noisy drunks at 1 am anywhere  ",,LOCATION1,safety,Positive
65,  LOCATION1 is the best by a long shot,,LOCATION1,general,Positive
66,"  LOCATION1 is the place, I love it",,LOCATION1,general,Positive
67,  LOCATION1 is very suburban,,LOCATION1,general,Positive
68,  LOCATION1 is worth a visit if you are going in the spring or summer time,,LOCATION1,touristy,Positive
69,  LOCATION1 isn't bad,,LOCATION1,general,Positive
70,"  LOCATION1 isn't that bad, its a vibrant and diverse place, which does have crime, but so does LOCATION2",,LOCATION1,multicultural,Positive
71,"  LOCATION1 would be pretty good, it's a laid back spot and mostly locals",,LOCATION1,general,Positive
72,  LOCATION1's a hole,,LOCATION1,general,Negative
73,  LOCATION1's a lovely town but very expensive,,LOCATION1,price,Negative
74,  LOCATION1's a very central area close to LOCATION1 ,,LOCATION1,transit-location,Positive
75,  LOCATION1's nice and quite quiet,,LOCATION1,quiet,Positive
76,  LOCATION2 and LOCATION1 are the cheapest or are you talking about the real world,,LOCATION1,price,Positive
77,  London is so diverse there are no racist areas  I live in LOCATION1 and have never had any problems,,LOCATION1,safety,Positive
78,  Lots of the better areas are expensive and definitely LOCATION1,,LOCATION1,price,Negative
79,  Off course LOCATION1 is most safest place of Central London,,LOCATION1,safety,Positive
80,"  Oh LOCATION1 for me without a doubt, I've always said I would love to live there",,LOCATION1,live,Positive
81,"  The LOCATION1/LOCATION2 area is very expensive, probably the most expensive in London",,LOCATION2,price,Negative
82,  The Nobility live in townhouses in LOCATION1,,LOCATION1,price,Negative
83,  The area South of LOCATION1  is also good,,LOCATION1,general,Positive
84,"  The area around LOCATION1 and LOCATION2 stations is very nice, leafy and green, and affordable",,LOCATION2,price,Positive
85,  The cheapest area of London is LOCATION1 (DA18),,LOCATION1,price,Positive
86,  There's one place you must visit here in London - LOCATION1 and it's markets,,LOCATION1,touristy,Positive
87,  Think most of the marketing agencies of London are located in and around LOCATION1 - it's also where most of the advertising companies locate to as well ,,LOCATION1,touristy,Positive
88,  Try LOCATION1 or nearby,,LOCATION1,general,Positive
89,"  Try LOCATION1, it has great transport connections and has had a lot of development in the last few years  west London",,LOCATION1,transit-location,Positive
90,  Try searching in  LOCATION1 or LOCATION2,,LOCATION1,general,Positive
91,  You may want to consider LOCATION1,,LOCATION1,general,Positive
92,  You will not find anywhere near London much cheaper than LOCATION1,,LOCATION1,price,Positive
93,  area around LOCATION1 in very multi-cultural and it is a very busy area,,LOCATION1,multicultural,Positive
94,"  depends how much money you have to spend but avoid most of the LOCATION1,bad transport and alot trouble",,LOCATION1,transit-location,Negative
95,  i come from same area as david and have to agree if going to live in suburbia then LOCATION1 area is good but EXPENSIVE,,LOCATION1,price,Negative
96,"  i live in LOCATION1 which is in north west extended London, it is great because its not to busy and its not to expensive ether",,LOCATION1,quiet,Positive
97,  if you google victorian LOCATION1 you'll come up with a host of information you can also check it out on streetmap,,LOCATION1,quiet,Positive
98,"  just dont live in LOCATION1, you'll regret it",,LOCATION1,live,Negative
99,  just go to LOCATION1 and you'll be in the centre of London,,LOCATION1,transit-location,Positive
100,  really nice area is LOCATION2 or LOCATION1,,LOCATION2,general,Positive
101,  try somewhere round LOCATION1,,LOCATION1,general,Positive
102, (LOCATION1/LOCATION2) is a very up and coming popular place for artists and musicians while also having lots of great curry houses and Asian food shops,,LOCATION2,general,Positive
103," (try LOCATION1, if you haven't already seen it",,LOCATION1,general,Positive
104," , LOCATION2 and LOCATION1 might be good for you",,LOCATION2,general,Positive
105, Actually what I found is that LOCATION1 is in Sureey but in all other ptactical means it IS part of London/in London,,LOCATION2,general,Positive
106, Areas like LOCATION1 and LOCATION2 are still regarded as pleasant and safe but are a little less expensive as they are slightly further out from the centre of town,,LOCATION1,price,Positive
107," Areas such as LOCATION1 and LOCATION2 are near the MI and either tube lines and are very nice areas, semi-rural in parts",,LOCATION2,general,Positive
108," As long as you can afford to live in LOCATION1, it's way nicer (:",,LOCATION1,price,Negative
109, Avoid LOCATION1 - it's super pricey,,LOCATION1,price,Negative
110, Avoid LOCATION1 - nice place to go out but it's a bit rough (highest assault rate in London),,LOCATION1,nightlife,Positive
111," Crossrail mainline link between LOCATION1, central London and north Kent",,LOCATION1,transit-location,Positive
112," For the most part, LOCATION1 is a nice area",,LOCATION1,general,Positive
113," Further development of the Royal Docks area, including the LOCATION1 Quays project",,LOCATION1,general,Positive
114," Getting to the London from LOCATION1 is easy , buses go every few minutes",,LOCATION1,transit-location,Positive
115, Hmm LOCATION1 and LOCATION2 are improving areas,,LOCATION1,general,Positive
116, However you're unlikely to find anything decent and cheap in LOCATION1 ,,LOCATION1,price,Negative
117, I Live in LOCATION1 which is close to the center of town and is very nice in my opinion,,LOCATION1,transit-location,Positive
118, I also like LOCATION1 and LOCATION2 for going out,,LOCATION2,nightlife,Positive
119," I can't understand the thumbs down for LOCATION1, that area is having lots of money thrown at it right now",,LOCATION1,general,Positive
120, I come from south London and really want to no why so many people think cockneys only come from LOCATION1,,LOCATION1,general,Positive
121," I currently live in a very street, depressing, hood area of LOCATION1",,LOCATION1,general,Negative
122, I do love LOCATION1 but unfortunately due to the increase in rent I will moving further out,,LOCATION1,general,Positive
123, I don't know LOCATION2 but LOCATION1 is one of the nicest areas of London,,LOCATION1,general,Positive
124, I don't know much about LOCATION2 or LOCATION1,,LOCATION1,general,Positive
125, I feel safer in LOCATION1 than I do in LOCATION2,,LOCATION1,safety,Positive
126, I feel that the LOCATION1  area is pretty safe  I have lived in E9 LOCATION2 and loved it ,,LOCATION1,safety,Positive
127, I got my flat broken into in LOCATION1 but never in LOCATION2 area,,LOCATION1,safety,Negative
128, I have a friend that lives in a small place called LOCATION1 and it comes under LOCATION2,,LOCATION1,safety,Negative
129, I have heard from some friends that LOCATION1 and places nearby are quite dangerous to live in due to the high criminal cases,,LOCATION1,safety,Negative
130, I have lived in LOCATION1 for 25 years and it's now one the most safest places to live,,LOCATION1,safety,Positive
131, I have personally had no major problems while in LOCATION1,,LOCATION1,safety,Positive
132," I have the chance to move to E16 1TX area, it is West LOCATION1",,LOCATION1,safety,Positive
133, I just know that I definitely don't want to live in LOCATION1 as it's the most dangerous  ,,LOCATION1,live,Negative
134," I know LOCATION1 well, I'm afraid I wouldn't choose to live there either ",,LOCATION1,live,Negative
135, I live in LOCATION1 and can't even walk across the road to the shop without feeling overly warey  ,,LOCATION1,safety,Negative
136, I live in LOCATION1 but I've been here seven years and never had a minute's trouble,,LOCATION1,safety,Positive
137, I live in LOCATION1 which is quite boring ,,LOCATION1,live,Negative
138, I live in LOCATION2  and I love it LOCATION1 just stay away from LOCATION1 lol,,LOCATION2,general,Positive
139, I live in LOCATION2 but Id rather live in LOCATION1  ,,LOCATION1,live,Positive
140, I live near the m25 next to the LOCATION1 bridge,,LOCATION1,live,Positive
141, I must say LOCATION1 is one of my favorite places and i'd love to live there,,LOCATION1,live,Positive
142, I prefer to live in an area where there are more English people (like where I live now in LOCATION2) or where there are a variety of different cultures (like LOCATION1),,LOCATION1,multicultural,Positive
143, I recommend LOCATION1 or perhaps LOCATION2,,LOCATION1,general,Positive
144, I spent a semester abroad in LOCATION1 right around the imperial college I would imagine that area would be greatly expensive but it was a great place to live  ,,LOCATION1,price,Negative
145, I sure as hell wouldn't wanna be stuck in a shithole like bloody LOCATION1,,LOCATION1,general,Negative
146," I think LOCATION2 gets a raw deal because it's close to some dodgy areas like LOCATION1,  but actually it's alright, a bit of a hidden gem in fact",,LOCATION1,safety,Negative
147," I think LOCATION2 is a pretty good place to live and you're unlikely to have any problems I'm living in LOCATION1, yeah it's a safe area, ",,LOCATION2,live,Positive
148, I think the farthest out in essex to be close to London would be LOCATION1,,LOCATION1,transit-location,Positive
149," I used to live in a rented appartment in LOCATION1 during my ""rocking days"" and links into the centre are fast and frequent by tube ""underground railway""",,LOCATION1,transit-location,Positive
150," I was born and bred down in LOCATION1, (and I lived down there for twenty-eight years, man and boy), ",,LOCATION1,transit-location,Positive
151," I will recommend to you areas like LOCATION1, LOCATION2, they have a high Asian population and it is fairly affordable to live there",,LOCATION2,price,Positive
152," I would hardly call LOCATION1 or LOCATION2 rough  Well, in all honestly there are ""rough"" parts in every area in London",,LOCATION2,safety,Positive
153, I would never want to live somewhere like LOCATION1 or anywhere in LOCATION2 as I would never get any sleep,,LOCATION2,live,Negative
154, I would pick LOCATION1 as it is the furthest in the center giving you so much things to do,,LOCATION1,transit-location,Positive
155, I would really recommend LOCATION1,,LOCATION1,general,Positive
156, I would say LOCATION1 but it may exceed your budget by a little but it is worth the move,,LOCATION1,price,Negative
157," I would say with the massive increase in supply around the area, and the amount of security they have LOCATION1 is your best bet  Don't waste your money",,LOCATION1,general,Positive
158, I would stay away from LOCATION1 and LOCATION2 area's as many parts are very run down and deprived,,LOCATION1,general,Negative
159, I would strongly recommend flats in the LOCATION1 as this area is growing quickly and many of the flats are newly built meaning the design will be quite modern as well  ,,LOCATION1,general,Positive
160," I would suggest SE London, somewhere like LOCATION1 or LOCATION2 but it's been years I've lived in London",,LOCATION1,general,Positive
161, I would suggest looking at the area around LOCATION2 or LOCATION1,,LOCATION2,general,Positive
162, I'd recommend LOCATION1 and you could easily connect onto the piccadilly line no problem and its cheaper than most areas in London,,LOCATION1,transit-location,Positive
163, I'd recommend LOCATION2 or LOCATION1,,LOCATION2,general,Positive
164, I've been LOCATION1 a few times and I've never been bothered,,LOCATION1,safety,Positive
165," I've been offered a job in LOCATION1 (LOCATION2) and am looking for somewhere to live, I've found loads of accomodation within my price range",,LOCATION1,safety,Positive
166, I've been to LOCATION1 and LOCATION2 which are bleak and unfriendly places in daylight,,LOCATION1,general,Negative
167, I've lived in the LOCATION1 for years and I love it - I wouldn't want to live anywhere else,,LOCATION1,general,Positive
168," I've never been to LOCATION1 - due to its reputation, mostly",,LOCATION1,general,Negative
169," I've seen breeders with puppies in LOCATION1, Daventry, 3 in Kent and one in St Neots - and that was just the first page",,LOCATION1,general,Negative
170, I've spent a lot of time in LOCATION1 and can confirm it's generally quite a deprived area and certainly not that safe after dark,,LOCATION1,safety,Negative
171, If you have alot of money ie rich you can live in nice LOCATION1 posh ,,LOCATION1,price,Negative
172, If you have alot of money ie rich you can live in nice LOCATION1 posh London ,,LOCATION1,price,Negative
173," If you mean flying from the US, then it's basically only LOCATION1 and Gatwick that handle long-haul flights",,LOCATION1,price,Negative
174," It ranges from exclusive and very expensive around LOCATION2, to down market and more affordable in places like LOCATION1",,LOCATION2,price,Negative
175," Keep well clear, LOCATION1's the pits  It's fine",,LOCATION1,general,Negative
176, LOCATION1  by the way is not a hot bed of crime,,LOCATION1,safety,Positive
177, LOCATION1  has a good market and vibrant afro/caribbean community,,LOCATION1,shopping,Positive
178, LOCATION1  has a reputation of being dangerous ,,LOCATION1,safety,Negative
179, LOCATION1  has become a very popular area in London and is quite expensive,,LOCATION1,price,Negative
180," LOCATION1  has connections to Gatwick and Luton Airports, and lots of cool places that you might want to visit like Brighton",,LOCATION1,transit-location,Positive
181, LOCATION1  has good restaurants and bars,,LOCATION1,dining,Positive
182, LOCATION1  has plenty of food places,,LOCATION1,dining,Positive
183, LOCATION1  has the Empire (good venue for live music) and good bars,,LOCATION1,nightlife,Positive
184, LOCATION1  is a nice area but probably a bit far away ,,LOCATION1,transit-location,Negative
185, LOCATION1  is a pretty desirable area you will see what I mean,,LOCATION1,general,Positive
186, LOCATION1  is a very prosperous suburb,,LOCATION1,general,Positive
187, LOCATION1  is certainly safer than it was even a couple of years ago,,LOCATION1,safety,Positive
188, LOCATION1  is good for shopping,,LOCATION1,shopping,Positive
189, LOCATION1  is not a crime hotspot probably just drunks,,LOCATION1,safety,Positive
190, LOCATION1  is quite a green area of London,,LOCATION1,green-nature,Positive
191, LOCATION1  is so nice,,LOCATION1,general,Positive
192, LOCATION1 (commuter hub to the London),,LOCATION1,transit-location,Positive
193, LOCATION1 (where I grew up) is an okay place to live as its got a large portugese community,,LOCATION1,live,Positive
194," LOCATION1 , LOCATION2 are all places with low crime",,LOCATION1,safety,Positive
195," LOCATION1 - fantastic shopping centre, Arts Centre and Clubs - and it is only a 25 minute bus ride away",,LOCATION1,shopping,Positive
196," LOCATION1 = Yawn - over hyped, down trodden area - crime is high ",,LOCATION1,safety,Negative
197," LOCATION1 Good area, generally",,LOCATION1,general,Positive
198," LOCATION1 LOCATION2, both shite holes",,LOCATION1,general,Negative
199, LOCATION1 London aint exactly a dump just cause them germanz bombed here dey had 2 build alot of estates init,,LOCATION1,general,Positive
200, LOCATION1 a sort of average London suburb; very racially mixed; therefore has excellent ethnic restaurants; there is a shopping centre with the usual stores,,LOCATION1,multicultural,Positive
201, LOCATION1 according to the Met has one of the highest crime rates,,LOCATION1,safety,Negative
202, LOCATION1 ai n't too bad either,,LOCATION1,general,Positive
203, LOCATION1 and LOCATION2 are also good areas for cheaper flats,,LOCATION2,price,Positive
204," LOCATION1 and LOCATION2 are both expensive and up-scale neighbourhoods , so you need have no worries apart from the huge cost of living there of course",,LOCATION2,price,Negative
205," LOCATION1 and LOCATION2 are both okay , again , affordable and good transport",,LOCATION1,transit-location,Positive
206, LOCATION1 and LOCATION2 are is full of more pretentious hipsters than chavs,,LOCATION1,transit-location,Positive
207," LOCATION1 can be a nice area - near the cemetery is good, but maybe too expensive for you",,LOCATION1,price,Negative
208, LOCATION1 has a large Asian community but is not sticking out further for its crime rates,,LOCATION1,safety,Positive
209, LOCATION1 has a lot of trendy clubs but you will have to pay around 10-15 for a drink,,LOCATION1,nightlife,Positive
210," LOCATION1 has some wicked parties there , really like it but I dont stay there",,LOCATION1,nightlife,Positive
211, LOCATION1 in Kent is a lovely ancient market town with a good fast rail service to LOCATION2 ,,LOCATION1,shopping,Positive
212, LOCATION1 in Kent or LOCATION2 in Kent might be worth a look,,LOCATION1,general,Positive
213, LOCATION1 in London is a good place to go to hear blues music and Ronnie Scott's in LOCATION2 is a Jazz institution,,LOCATION1,nightlife,Positive
214, LOCATION1 in Northern London is nice and LOCATION2 is nice in the South,,LOCATION1,general,Positive
215," LOCATION1 in the east end is a very vibrant area for young hipster types , artists , musicians and people who love food - specifically Indian curry",,LOCATION1,dining,Positive
216," LOCATION1 is a big flea market, with a street of great indian curry houses",,LOCATION1,shopping,Positive
217," LOCATION1 is a good place to live, convenients, safe, lots of pubs/bars/cafes and restaurants, shops",,LOCATION1,dining,Positive
218," LOCATION1 is a lovely place to live , but it would be a bit of a trek into London the journey time on the underground ( Northern line ) is about 40 minute",,LOCATION1,live,Positive
219," LOCATION1 is a pleasent , up-market , vibrant , cosmopolitan , young professional area",,LOCATION1,multicultural,Positive
220," LOCATION1 is a pretty rough area, with lots of council estates, it is quite a way out from the centre, about 10 miles, and has poor public transport",,LOCATION1,safety,Negative
221," LOCATION1 is a really nice area with good restaurants etc and again with good transport links (Jubilee line, Silverlink trains and Thameslink trains)",,LOCATION1,transit-location,Positive
222," LOCATION1 is a shitt hole , LOCATION2 is ok but a bit out of the way ",,LOCATION2,transit-location,Negative
223, LOCATION1 is above average for crime,,LOCATION1,safety,Negative
224, LOCATION1 is affardoble and next to central London,,LOCATION1,price,Positive
225, LOCATION1 is different though- its a bit of a run down area so dont expect too much when you get there however the students take over most of it so you'll be safe enough,,LOCATION1,safety,Positive
226, LOCATION1 is fine,,LOCATION1,general,Positive
227," LOCATION1 is gorg, i would love to live there",,LOCATION1,live,Positive
228," LOCATION1 is gorgeous and has the blend of uber rich and middle class , v",,LOCATION1,price,Negative
229," LOCATION1 is great, because it's mainly little boutiques that sells goods you wont find anywhere else and there's a huge markets",,LOCATION1,shopping,Positive
230," LOCATION1 is horrible yes it is in fact i was there last weekend I work in the LOCATION1 area , and within the last three weeks the owner of the sandwich shop directly opposite was murdered by a drug crazed ex-employee , and just yesterday , a man was shot dead INSIDE SE-One nightclub",,LOCATION1,general,Negative
231, LOCATION1 is in LOCATION2 and is generally an inner-London borough,,LOCATION1,general,Negative
232, LOCATION1 is in my opinion is alot nicer than LOCATION1,,LOCATION1,general,Positive
233, LOCATION1 is middle class outer suburbs there 's some problems in the area with aimless bored youths ,,LOCATION1,general,Negative
234, LOCATION1 is more upmarket than the residential area to the west towards and surrounding the High Rd,,LOCATION1,general,Positive
235, LOCATION1 is nice for food and shopping but good luck finding anywhere decent in your price range,,LOCATION1,dining,Positive
236," LOCATION1 is nice, with cinemas, shops and stuff",,LOCATION1,shopping,Positive
237, LOCATION1 is ok but aint that expensive well I dunno if your rich or not,,LOCATION1,price,Positive
238, LOCATION1 is on the Metropolitan Line of the Underground ; the trains are frequent and take 35 minutes to LOCATION1,,LOCATION1,transit-location,Positive
239, LOCATION1 is on the Piccadilly line ,,LOCATION1,transit-location,Positive
240," LOCATION1 is one of the most desirable places to live in the whole of the world, beautiful area,  10 mins to LOCATION2",,LOCATION1,live,Positive
241, LOCATION1 is only 15 mins from LOCATION1,,LOCATION1,transit-location,Positive
242, LOCATION1 is only the 10th safest London borough,,LOCATION1,safety,Negative
243, LOCATION1 is predominantly safe,,LOCATION1,safety,Positive
244, LOCATION1 is quite expensive and as you hint at in your question has several parts - estate agents often call other surrounding areas LOCATION1 when most people know them by other areas,,LOCATION1,price,Negative
245, LOCATION1 is quite pleasant in general,,LOCATION1,general,Positive
246," LOCATION1 is really no more than a big shopping centre in the middle of a huge road junction ( its where the M1 starts ), ",,LOCATION1,shopping,Positive
247, LOCATION1 is really the only nice part of the borough of LOCATION1,,LOCATION1,general,Positive
248, LOCATION1 is the best part of the whole of London,,LOCATION1,general,Positive
249," LOCATION1 is the most lively in terms of cinemas, bars, restaurants, etc  ",,LOCATION1,nightlife,Positive
250," LOCATION1 is the most lively in terms of cinemas, bars, restaurants, etc  and probably the only place on your list where you'll find single women under 40",,LOCATION1,nightlife,Positive
251, LOCATION1 is very cheap compared to any where else but I have been warned not to go there,,LOCATION1,price,Positive
252," LOCATION1 is very leafy, with a wonderful park and woodlands, as well as being within walking distance of LOCATION1",,LOCATION1,green-nature,Positive
253, LOCATION1 is very upmarket and many artists live there,,LOCATION1,general,Positive
254, LOCATION1 isn't too expensive either,,LOCATION1,general,Positive
255," LOCATION1 like LOCATION2 is a very desirable area full of character and atmosphere , but the property in these area 's are very expensive",,LOCATION2,general,Positive
256," LOCATION1 market  a plethora of stalls, shops, and foods from all different cultures and countries",,LOCATION1,shopping,Positive
257," LOCATION1 over the last 10 years now has some restaurants/pubs/bars to rival LOCATION1 , people who can afford them would not go into areas they felt unsafe or indeed live there",,LOCATION1,dining,Positive
258, LOCATION1 parts have a large Jewish community they live in peace ,,LOCATION1,multicultural,Positive
259, LOCATION1 town centre  is brilliant for shopping,,LOCATION1,shopping,Positive
260, LOCATION1 used to be a haven for drugs and prostitution,,LOCATION1,safety,Negative
261, LOCATION1 which is a lovely safe area ,,LOCATION1,safety,Positive
262," LOCATION1 which is excellent for night life, and then to the other side you've got LOCATION2, also known as rough, but great for the markets, and for the Currys",,LOCATION2,dining,Positive
263, LOCATION1 which is quite trendy and good if you like tennis,,LOCATION1,general,Positive
264, LOCATION1 would be a good choice for you in terms of communication,,LOCATION1,transit-location,Positive
265, LOCATION1's got good rail links into LOCATION1,,LOCATION1,transit-location,Positive
266," LOCATION1's well served by public transport, there being five Underground stations with ""ruislip"" in the name",,LOCATION1,transit-location,Positive
267," LOCATION1, LOCATION2 Fast becoming the hot-spot for Aussies and Kiwis working in London",,LOCATION2,multicultural,Positive
268," LOCATION1, LOCATION2 are great areas to live",,LOCATION2,live,Positive
269," LOCATION1, SE4 It is a beautiful late-Victorian / Edwardian suburb of South-East London",,LOCATION1,general,Positive
270," LOCATION1, it's quite hip'",,LOCATION1,general,Positive
271," LOCATION1, where there is an enormous Westfield shopping centre",,LOCATION1,shopping,Positive
272, LOCATION1- Gun capital of the country I live on what is known as the murder mile Lower Clapton road,,LOCATION1,safety,Negative
273, LOCATION1- a big grassy hill and some ace resturants,,LOCATION1,dining,Positive
274," LOCATION1~ cute villagey area, where loads of celebs live; very sweet shops, cafes etc ",,LOCATION1,shopping,Positive
275, LOCATION2 and LOCATION1 are also really rough in areas,,LOCATION1,safety,Negative
276, LOCATION2 and LOCATION1 are better provided with open space and less subject to traffic and airliner noise nuisance,,LOCATION2,quiet,Positive
277, LOCATION2 and LOCATION1 are nice,,LOCATION2,general,Positive
278," LOCATION2 and LOCATION1, as mentioned by others, are good, but don't ignore the less obvious",,LOCATION2,general,Positive
279, LOCATION2 and the LOCATION1 area - I'd say both are not really outrageously dangerous neighbourhoods,,LOCATION1,safety,Positive
280, LOCATION2 for Afro Caribs and LOCATION1 for Indians,,LOCATION2,multicultural,Positive
281," LOCATION2 is a safe enough area - it's part of LOCATION1, which again is safe",,LOCATION2,safety,Positive
282," LOCATION2 is central London so extremely expensive, LOCATION1 is often considered the coolest area of London",,LOCATION2,transit-location,Positive
283," LOCATION2 is fine , not much happens there , LOCATION1 is SW London is better in every conceivable way",,LOCATION1,general,Positive
284," LOCATION2 is not as expensive as LOCATION1, but is still just as nice",,LOCATION2,price,Positive
285," LOCATION2 is not well served by the Tube, LOCATION1 has most of the tube stations",,LOCATION2,transit-location,Negative
286, LOCATION2 is quite nice and not too bad as it borders on to LOCATION1 which is a very nice area,,LOCATION2,general,Positive
287, LOCATION2 or LOCATION1 would supply great local amenities and a direct train into the London,,LOCATION2,shopping,Positive
288," LOCATION2,  where Henry Ford put in a massive amount of housing in the LOCATION1 Estate",,LOCATION2,shopping,Positive
289," Lots of bars and restaurants in LOCATION2 You could go dog racing also, that is local and lots of fun I'd say that it's a nice area and not a particularly dangerous area to live,  I'd be wary of is just around  the LOCATION1 Lane Estate",,LOCATION1,safety,Negative
290, Mikey LOCATION1 is a disgusting area,,LOCATION1,general,Negative
291, Most of LOCATION1 is fine,,LOCATION1,general,Positive
292," My hometown is LOCATION1, in SW London ",,LOCATION1,general,Positive
293," My hometown is LOCATION1, in SW London literally a walk into LOCATION1",,LOCATION1,transit-location,Positive
294," My hometown is LOCATION1, in SW London literally a walk into surrey",,LOCATION1,transit-location,Positive
295," NO offence to anyone who lives in LOCATION1, I personally would stay away from it",,LOCATION1,general,Negative
